Date,Branch,Customer type,Gender,Product line,Unit price,Quantity,Payment,Rating,Sales
01/01/24,Brooklyn,Member,Female,Food & Beverages,84.63,10,Credit card,9,846.3
01/01/24,Queens,Non-member,Female,Electronics,63.22,2,Cash,8,126.44
01/01/24,Brooklyn,Non-member,Female,Electronics,74.71,6,Cash,6,448.26
01/01/24,Queens,Member,Female,Sports & Travel,36.98,10,Credit card,7,369.8
01/01/24,Manhattan,Member,Female,Sports & Travel,27.04,4,Ewallet,6,108.16
01/01/24,Manhattan,Non-member,Female,Fashion & Accs,65.74,9,Cash,7,591.66
01/01/24,Manhattan,Member,Male,Home & Lifestyle,47.59,8,Cash,5,380.72
01/01/24,Manhattan,Non-member,Male,Sports & Travel,72.61,6,Credit card,6,435.66
01/01/24,Queens,Non-member,Male,Health & Beauty,62.87,2,Cash,5,125.74
01/01/24,Brooklyn,Non-member,Male,Food & Beverages,21.12,8,Cash,6,168.96
01/01/24,Queens,Member,Female,Sports & Travel,29.22,6,Ewallet,5,175.32
01/01/24,Manhattan,Member,Female,Electronics,74.22,10,Credit card,4,742.2
01/02/24,Manhattan,Non-member,Male,Sports & Travel,42.47,1,Cash,5,42.47
01/02/24,Brooklyn,Member,Male,Fashion & Accs,40.61,9,Cash,7,365.49
01/02/24,Brooklyn,Non-member,Male,Sports & Travel,44.63,6,Credit card,5,267.78
01/02/24,Manhattan,Member,Male,Food & Beverages,41.66,6,Ewallet,5,249.96
01/02/24,Queens,Member,Female,Sports & Travel,31.67,8,Credit card,5,253.36
01/02/24,Brooklyn,Non-member,Female,Health & Beauty,34.21,10,Cash,5,342.1
01/02/24,Brooklyn,Non-member,Male,Electronics,22.01,6,Cash,7,132.06
01/02/24,Queens,Non-member,Male,Fashion & Accs,99.82,2,Credit card,6,199.64
01/03/24,Brooklyn,Non-member,Female,Home & Lifestyle,63.15,6,Ewallet,9,378.9
01/03/24,Queens,Member,Male,Health & Beauty,75.88,1,Credit card,7,75.88
01/03/24,Brooklyn,Non-member,Male,Sports & Travel,93.38,1,Cash,9,93.38
01/03/24,Manhattan,Non-member,Male,Health & Beauty,70.01,5,Ewallet,5,350.05
01/03/24,Manhattan,Non-member,Female,Health & Beauty,23.03,9,Ewallet,7,207.27
01/03/24,Queens,Member,Female,Health & Beauty,21.12,2,Cash,9,42.24
01/03/24,Manhattan,Non-member,Female,Home & Lifestyle,67.09,5,Credit card,9,335.45
01/03/24,Brooklyn,Member,Male,Health & Beauty,62,8,Credit card,6,496
01/04/24,Brooklyn,Non-member,Male,Sports & Travel,46.42,3,Credit card,4,139.26
01/04/24,Manhattan,Member,Male,Health & Beauty,20.97,5,Cash,7,104.85
01/04/24,Queens,Member,Female,Electronics,66.65,9,Credit card,9,599.85
